245
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes,Volumes_2,Volumes_3
1,0.60656166,0.46745387,0.63812983,0.36343703,0.678581,0.015223035,3.5339885,2.4906836,3.5805879,7.5731883,4.593606,3.5401161,25.231482,56.990742,30.694445,9.3052578,0.92341089,0.86937582,5.1775093,0,27,8,0.36578512,1,0,421.875,421.875,421.875
2,0.57345927,0.44420719,-0.40063277,0.19719526,0.69270486,0.56636328,0.88520306,1.7433008,0.66978496,9.3283892,5.3494515,4.1437378,48.333332,47.5,10.104167,11.272517,5.9651875,1.8639405,5.3710713,0,48,7,0.48676804,1,0,750,750,750
3,0.91399825,0.69868088,-0.87157279,0.033483837,-0.36495751,0.32564661,4.0558491,2.0040629,3.4119873,9.2408791,8.446147,6.4564257,61.770832,59.520832,14.083333,15.299159,6.2582927,0.7466498,4.1981421,0,120,15,0.55302304,1,0,1875,1875,1875
4,0.80071676,0.7037102,-0.27129632,0.76213574,-0.55312765,0.19899051,4.8992696,0.59350932,5.2104821,8.7193718,6.9817467,6.1359105,58.985294,17.544117,9.1029415,13.637877,6.2798285,1.884838,2.4542718,0,85,12,0.44066674,1,1,1328.125,1328.125,1328.125
5,0.54142243,0.49519765,0.92129922,0.1178425,-0.14679834,0.34025162,4.3127298,1.5699636,5.7914186,8.3958673,4.545711,4.1576142,18.819445,49.861111,58.75,10.241761,0.80613714,2.1132848,0.12110029,0,36,10,0.43412155,1,0,562.5,562.5,562.5
6,0.14342432,0.1096787,0.53194571,0.63348758,-0.56158286,0.018760117,4.2769613,1.5467583,4.7170959,45.019753,6.4569278,4.9377079,12.802288,38.243465,42.344772,16.589666,5.5513024,1.9482403,3.806689,0,153,17,0.0099389898,1,1,2390.625,2390.625,2390.625
7,0.62068486,0.58000803,-0.024351044,0.68778378,-0.70806605,0.15812339,2.439328,2.5208132,5.085628,10.779791,6.6908531,6.2523656,7.3509173,50.011467,38.887615,14.816626,6.0988636,1.5180509,2.8864903,0,109,15,0.59581095,1,1,1703.125,1703.125,1703.125
8,0.61301613,0.47778603,0.052329,-0.99556035,-0.041497834,0.066326566,4.0263186,1.1789179,6.0047026,11.36083,6.9643726,5.4280462,9.0898056,22.245146,44.381069,14.539615,2.1823838,2.9849553,5.2189484,0,103,15,0.57301342,1,1,1609.375,1609.375,1609.375
9,0.59381622,0.53685832,0.064160697,0.21894938,-0.33777934,0.91315377,4.3925514,1.0886384,5.4078221,11.085417,6.5826998,5.9512978,23.75,22.916666,53.035713,14.63312,4.1864338,2.277878,5.2507234,0,105,19,0.59671217,1,0,1640.625,1640.625,1640.625
10,0.20113565,0.11142235,0.062734038,0.24323283,-0.72749865,0.63847309,3.2345321,1.5767835,4.6995697,43.158489,8.6807108,4.8088202,34.692856,7.9071426,27.121429,17.349482,5.3104525,0.50782448,2.6736929,0,175,18,0.0062451959,1,1,2734.375,2734.375,2734.375
11,0.16999902,0.1352957,-0.38791534,0.37118962,-0.12301371,0.83463025,3.1653945,2.9315803,3.1093915,37.209633,6.3256016,5.0343037,17.299618,37.146946,65.486641,15.753036,5.6661506,1.1335131,0.90970165,0,131,13,0.011927009,1,1,2046.875,2046.875,2046.875
12,0.90291715,0.6170978,-0.11640362,0.687913,0.43029505,0.57277584,1.5814675,2.7852306,4.8344049,9.9068871,8.9450989,6.1135182,54.609375,41.308594,40.058594,15.631854,0.61732453,1.1628196,1.4028461,0,128,20,0.53166604,1,0,2000,2000,2000
13,0.79290169,0.55816561,-0.28064772,0.5767408,0.091239698,0.76176256,4.455626,1.2308285,3.6441967,6.4157987,5.0870976,3.5810783,27.049999,18.35,43.950001,9.0695791,2.839525,0.97153014,2.0622938,0,25,12,0.32335833,1,0,390.625,390.625,390.625
14,0.66854835,0.63261336,0.64078325,0.6005376,0.051799018,0.47546631,3.9106004,1.7980725,0.97053486,11.106844,7.4254622,7.0263376,13.838653,30.381207,9.3528366,16.144089,3.7860649,2.1442034,2.2800891,0,141,15,0.61593765,1,1,2203.125,2203.125,2203.125
15,0.69687843,0.54446554,0.65807718,0.54507709,0.42055473,0.30489197,4.6700692,2.8871446,0.99829054,9.9899197,6.9617596,5.439167,52.92683,24.603659,5.2439022,13.475507,2.8898418,2.0491848,1.5063357,0,82,12,0.34566823,1,1,1281.25,1281.25,1281.25
16,0.15642065,0.1088523,0.92862862,0.28482696,0.038978212,0.23452751,3.1653821,1.625402,6.2663345,33.909176,5.3040953,3.6910918,15.283334,57.216667,63.983334,13.080597,3.2745078,2.6615064,2.6792908,0,75,15,0.013290593,1,1,1171.875,1171.875,1171.875
17,0.62083161,0.47619486,-0.76763517,-0.23498523,0.34404072,0.48698479,6.2621293,1.0689443,5.6202259,10.092602,6.2658057,4.8060451,24.297945,45.736301,48.27055,12.963276,2.6741655,1.4306308,0.75403398,0,73,13,0.57734078,1,0,1140.625,1140.625,1140.625
18,0.17281009,0.1420842,-0.64349288,0.56139046,-0.51833564,0.045670938,3.1391428,2.1638091,3.1157322,44.127701,7.6257119,6.2698483,46.743561,55.46674,20.756437,19.086479,0.76555067,2.0470858,2.2002745,0,233,23,0.011862978,1,1,3640.625,3640.625,3640.625
19,0.17429684,0.083512954,0.80354607,0.40677401,0.42894888,0.069652468,3.1096728,2.6389377,6.2526994,40.891529,7.1272645,3.4149723,49.122341,60.531914,43.88298,14.10316,2.2003849,2.2424774,1.2631567,0,94,12,0.0054272437,1,1,1468.75,1468.75,1468.75
20,0.90740389,0.63527125,0.030641073,-0.95374662,-0.26230857,0.14360596,1.1622947,2.0956907,5.4846425,8.9535437,8.1244802,5.6879292,45.484695,24.107143,28.494898,14.300432,5.501513,1.940708,5.993372,0,98,16,0.53834885,1,0,1531.25,1531.25,1531.25
21,0.7612831,0.49804541,-0.28064772,0.5767408,0.091239698,0.76176256,6.2122273,0.8184669,4.2621131,10.510073,8.0011406,5.2344937,18.796728,23.913551,34.731308,14.725445,1.1625994,3.076961,1.3037487,0,107,16,0.61293542,1,0,1671.875,1671.875,1671.875
22,0.22196524,0.11270736,0.039066371,-0.96704346,-0.10924196,0.22664292,3.1718714,2.6470094,0.01652701,36.523968,8.1070509,4.1165199,16.640625,22.617188,53.808594,15.631854,2.0603166,2.6329336,5.1211576,0,128,17,0.0092225755,1,1,2000,2000,2000
23,0.88771719,0.81769097,-0.46993405,0.42925319,0.76742321,0.077235654,0.34243932,0.91683209,1.2369552,10.075652,8.9443293,8.2387695,14.319445,16.694445,8.666667,17.513166,4.0725069,1.3798304,5.5528812,0,180,16,0.60478789,1,1,2812.5,2812.5,2812.5
24,0.88048285,0.43010029,-0.11640362,0.687913,0.43029505,0.57277584,6.1939945,1.3669792,0.00053709996,9.2014942,8.101758,3.9575653,20.487288,8.9194918,45.487289,12.075111,4.918344,1.6940285,1.7674952,0,59,13,0.23098755,1,0,921.875,921.875,921.875
25,0.64254767,0.50072443,0.39253646,0.045370393,-0.91208601,0.1093424,6.2712169,0.70450222,5.8349299,9.3480701,6.0065804,4.6808066,22.643442,30.512295,18.872952,12.21004,6.0548372,1.6632608,4.2846971,0,61,10,0.48635828,1,0,953.125,953.125,953.125
26,0.77282816,0.3733784,-0.11197119,0.39303827,-0.50696462,0.75892699,0.86213481,1.5724546,1.6392545,9.4285965,7.286685,3.5204344,52.25,18.700001,57.450001,11.426954,5.7947836,0.96751249,0.49105936,0,50,15,0.27267164,1,0,781.25,781.25,781.25
27,0.83589619,0.78026581,-0.61900645,-0.29605123,-0.62704825,0.36877516,3.6959021,2.0630145,1.107071,10.271981,8.5863104,8.0148754,61.697975,27.391619,48.417629,17.283134,3.4693806,2.1816633,2.2531278,0,173,23,0.63401502,1,0,2703.125,2703.125,2703.125
28,0.83359849,0.67802566,-0.28742653,0.69618213,-0.62548715,0.20367204,4.1468391,1.3546499,4.1889958,9.0251236,7.5233293,6.1192656,14.1,39,55.375,14.39706,3.7635858,1.6216652,5.6673555,0,100,17,0.5832358,1,0,1562.5,1562.5,1562.5
29,0.70280415,0.13651849,-0.23243624,0.42453185,0.42756021,0.76350403,5.1137896,0.02528544,5.4850988,30.251339,21.260765,4.1298671,49.25,59.410713,14.321428,16.105833,4.7028337,1.0104351,0.55937928,0,140,17,0.000293766,1,1,2187.5,2187.5,2187.5
30,0.88089991,0.53955036,0.63812983,0.36343703,0.678581,0.015223035,3.3321412,1.7203866,3.6622627,12.031982,10.598972,6.4918604,50.375,30.549999,15,18.13916,5.551621,0.53442812,5.0423756,0,200,22,0.59423268,1,0,3125,3125,3125
31,0.18459614,0.12079278,-0.30960879,-0.029716406,0.41453052,0.85523313,0.025936376,1.1407511,3.1769581,40.261398,7.4320989,4.8632865,53.029892,50.489132,47.961956,17.641943,5.9275408,0.63255656,5.736166,0,184,22,0.023339899,1,1,2875,2875,2875
32,0.73438966,0.53896409,0.039185982,0.28152472,-0.95167345,0.11630109,5.8117118,1.2113893,1.0239189,10.304141,7.5672545,5.5535617,11.530612,63.801022,8.1377554,14.300432,6.0232778,0.57642478,3.1582918,0,98,12,0.42872515,1,1,1531.25,1531.25,1531.25
33,0.12243214,0.1010194,0.39926934,-0.66111523,-0.63415694,0.036819112,4.6777649,0.99263245,3.1446753,40.701698,4.9831958,4.111661,62.341953,21.652298,29.066092,13.744014,3.6269045,1.7649933,5.6818843,0,87,13,0.0089241043,1,1,1359.375,1359.375,1359.375
34,0.45156607,0.10093267,0.47378168,-0.20406099,0.35947937,0.7776019,3.1656208,1.590647,1.4575475,27.549137,12.440255,2.7806077,10.147058,62.720589,37.573528,10.048474,2.3018692,1.0840188,3.115258,0,34,10,4.1751275e-05,1,1,531.25,531.25,531.25
35,0.18222947,0.13189071,-0.51616371,0.8004238,-0.14031921,0.27056828,4.9384718,3.0182693,6.0215907,25.163492,4.5855298,3.318831,65.46875,63.59375,58.984375,9.8474503,5.7635684,2.5221577,1.4764645,0,32,8,0.0029422445,1,1,500,500,500
36,0.82697159,0.71204615,0.078375414,-0.56381106,0.5541302,0.60738295,3.5639307,1.5787284,1.6329514,8.4691038,7.0037084,6.0303926,36.701809,62.936749,12.756024,13.530064,5.3004317,1.7028015,3.918205,0,83,12,0.48583844,1,0,1296.875,1296.875,1296.875
37,0.7644549,0.60853994,0.53995925,0.33461612,0.76946992,0.066273168,5.3613205,0.65670472,1.4391438,13.014006,9.9486208,7.9195423,32.778339,34.944332,40.541496,19.461344,0.63229084,1.4184139,1.2788843,0,247,29,0.58583045,1,0,3859.375,3859.375,3859.375
38,0.79921287,0.64298481,-0.1630536,-0.26070669,-0.27021527,0.91237563,3.3942523,1.9854568,3.7080479,9.2845182,7.4203062,5.9698043,63.002579,51.842785,58.543816,14.251625,1.2998247,0.62512308,5.5592332,0,97,9,0.526999,1,1,1515.625,1515.625,1515.625
39,0.80082327,0.71256405,0.45505497,0.6042366,-0.65254784,0.044770531,3.8238549,1.8509488,0.64810687,10.484686,8.3963804,7.4710102,64.217743,45.653225,32.05645,16.661638,5.5691972,1.7156563,3.7185781,0,155,16,0.52502674,1,1,2421.875,2421.875,2421.875
40,0.61885566,0.50759238,0.93758744,-0.11261668,0.13585277,0.29965192,5.2291002,0.49976599,3.7526653,10.654709,6.5937266,5.4082494,67.722221,22.277779,18.111111,13.900208,2.5964005,2.4710836,2.8354816,0,90,14,0.53854638,1,1,1406.25,1406.25,1406.25
41,0.88209444,0.54152507,-0.50738406,0.21020205,-0.70772612,0.44440988,3.1784663,1.9086008,5.96315,7.3266745,6.4628186,3.9675779,13.875,51.375,27.625,10.607844,2.0571196,0.49188009,3.5787823,0,40,9,0.31599852,1,0,625,625,625
42,0.15544397,0.094835036,0.56524277,-0.64420021,-0.51363397,0.041071579,3.1182618,2.9707634,3.1482368,34.971004,5.4360318,3.3164766,15.643939,38.14394,56.590908,12.534926,3.7820063,2.0589392,5.4831858,0,66,14,0.0090790251,1,1,1031.25,1031.25,1031.25
43,0.23206873,0.1337955,-0.47268108,0.21897282,-0.65172493,0.55125141,3.1983151,2.4410076,6.1940007,27.919916,6.4793396,3.7355592,10.48913,62.373188,34.836956,12.722043,0.43490192,1.0958991,1.3025491,0,69,9,0.008014923,1,1,1078.125,1078.125,1078.125
44,0.90461588,0.78181404,-0.12141266,0.51158077,0.63282472,0.56839859,1.2977542,2.5371244,3.2465985,9.0244274,8.16364,7.0554237,36.72131,39.569672,7.5819674,15.383687,4.1064258,1.107289,0.49879828,0,122,19,0.51442599,1,1,1906.25,1906.25,1906.25
45,0.77913654,0.60684621,-0.027574439,0.13783559,0.77090174,0.62125003,5.130765,0.71310258,5.0079684,10.89804,8.4910612,6.6134343,22.054794,43.253426,19.811644,16.332705,5.0460606,1.3926417,0.99871141,0,146,16,0.55812854,1,0,2281.25,2281.25,2281.25
46,0.76042694,0.58811939,0.045429714,0.95680726,-0.27849221,0.069986977,2.8272476,2.8160996,1.6988872,10.587988,8.0513916,6.2270012,8.3531742,42.738094,23.769842,15.55001,5.989532,2.5590887,2.9428291,0,126,17,0.54411823,1,1,1968.75,1968.75,1968.75
47,0.8890729,0.60379463,0.51739001,-0.5067448,0.68843073,0.039753806,3.5331724,1.9060249,1.3679738,9.1413116,8.1272926,5.5194745,10.981183,13.481183,39.072582,14.052971,0.8534736,1.6197815,2.403482,0,93,16,0.43332198,1,1,1453.125,1453.125,1453.125
48,0.78550822,0.56544447,0.064160697,0.21894938,-0.33777934,0.91315377,5.7998533,0.29180765,5.1203084,8.428751,6.6208529,4.7659903,26.331966,43.586067,57.02869,12.21004,1.7464932,2.5788207,3.020947,0,61,11,0.4583056,1,0,953.125,953.125,953.125
49,0.20100364,0.11468978,-0.85384542,0.29868492,0.23564126,0.35525835,4.3015766,1.5605035,1.5663354,42.79562,8.6020756,4.9082203,54.137325,48.808685,22.646713,18.523954,5.3610134,2.2607863,6.0340271,0,213,24,0.016440718,1,1,3328.125,3328.125,3328.125
50,0.8222726,0.54865003,-0.28064772,0.5767408,0.091239698,0.76176256,3.1598876,2.2443275,1.6365427,8.7365599,7.1838341,4.793314,19.964285,18.714285,40.107143,12.783208,2.5459168,1.9492931,1.7020785,0,70,13,0.49258807,1,0,1093.75,1093.75,1093.75
51,0.79404515,0.54870993,0.57724506,-0.21168213,0.6920628,0.37819037,4.0254374,1.139325,1.074948,13.50774,10.725756,7.4118314,12.926471,59.769608,29.455883,19.669224,1.7194401,1.3243515,2.4224079,0,255,22,0.54535282,1,1,3984.375,3984.375,3984.375
52,0.92081141,0.54655153,0.71621561,-0.61783266,0.2774657,0.16831753,3.3598602,2.0249765,1.3465414,10.372818,9.5514097,5.6692791,51.10294,40.367645,13.841911,15.950959,3.2130191,2.0497119,5.3503542,0,136,15,0.60102326,1,0,2125,2125,2125
53,0.87051159,0.48894522,-0.69887561,-0.040602595,0.16134052,0.69562459,4.3651218,1.3755802,2.4425504,7.4594765,6.4935608,3.6472754,10.375,65.125,36.375,10.607844,6.1133103,1.5509464,5.9972467,0,40,7,0.4296926,1,1,625,625,625
54,0.17565191,0.1471688,-0.022635622,-0.83929843,0.34507588,0.41950977,3.0612111,1.5526283,1.5951749,41.511894,7.2916427,6.1092558,38.989235,65.29306,51.082535,18.407265,0.85548103,1.9931061,4.0510001,0,209,17,0.013318554,1,1,3265.625,3265.625,3265.625
55,0.14989024,0.11001739,0.32887575,-0.70411718,0.22234781,0.58874547,3.9151859,1.5853759,1.5629479,40.018883,5.9984403,4.4027729,17.974138,51.400864,52.887932,15.127244,1.6466552,1.7802038,3.9143224,0,116,16,0.011502796,1,1,1812.5,1812.5,1812.5
56,0.27735019,0.27734992,0.63812983,0.36343703,0.678581,0.015223035,5.9504991,0.66634178,4.0969095,4.1502061,1.1510603,1.1510593,68.75,23.75,63.75,3.1017525,4.7395043,1.7720672,2.5830755,0,1,1,0.14365785,1,0,15.625,15.625,15.625
57,0.67224693,0.17396653,-0.30663601,0.77666497,-0.017715611,0.54995644,3.0641024,1.5871754,5.0625787,32.095798,21.576302,5.5835943,14.568584,18.086283,49.557522,18.893394,5.120616,1.9762853,1.2269728,0,226,19,0.00049261213,1,1,3531.25,3531.25,3531.25
