255
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes,Volumes_2,Volumes_3
1,0.7875731,0.49108779,0.16419688,-0.48692161,0.36335972,0.77712059,0.6910395,1.312595,0.44822916,9.4222431,7.4207048,4.6271486,28.256578,38.815788,19.210526,13.138476,4.9668293,1.460164,4.7454042,0,76,9,0.51660717,1,0,1187.5,1187.5,1187.5
2,0.75501049,0.71449494,-0.01003396,0.35313797,0.025848405,0.93516028,2.5459461,2.2893269,4.4942789,9.1849251,6.9347143,6.5625825,48.14394,25.138889,9.2550507,14.348909,4.7131615,0.7221508,1.5147567,0,99,11,0.53819287,1,1,1546.875,1546.875,1546.875
3,0.44830135,0.43190962,-0.6849705,-0.37782371,0.61151636,0.11879585,4.6815028,1.3282012,5.5555916,9.9700413,4.469583,4.3061566,3.6309524,12.857142,13.095238,10.781775,5.4083276,1.7965804,4.4001994,0,42,10,0.36277249,1,1,656.25,656.25,656.25
4,0.75642294,0.14399494,0.42928591,-0.23765907,-0.86858624,0.06920778,1.1859729,0.080040663,4.0209298,30.637802,23.175137,4.4116883,19.601065,25.416666,19.671986,16.144089,4.127264,1.0257432,5.1384926,0,141,22,0.00013345023,1,1,2203.125,2203.125,2203.125
5,0.61477637,0.50282377,-0.043139614,0.84202343,-0.48216015,0.23802724,1.1733702,2.1288784,1.4070324,8.9865026,5.5246897,4.5186267,31.35,34.049999,61.700001,11.426954,3.9561839,2.6356871,5.3163266,0,50,11,0.39717463,1,0,781.25,781.25,781.25
6,0.33879465,0.17620721,0.039588049,0.90106928,0.41927594,0.10351181,1.5335138,2.0608828,3.0700803,24.085894,8.1601715,4.2441082,38.399532,8.8200932,61.530373,14.725445,3.3397286,2.2484746,0.28594849,0,107,14,0.025080299,1,1,1671.875,1671.875,1671.875
7,0.78886932,0.5879454,-0.69080967,-0.44517216,0.10260805,0.56042427,0.63095874,1.0572639,0.19863436,9.8377237,7.7606783,5.7840447,8.3254719,23.183962,57.830189,14.679427,0.39135888,1.9292136,5.5296578,0,106,15,0.57551485,1,1,1656.25,1656.25,1656.25
8,0.29412878,0.16325225,0.81360751,-0.17586191,-0.44938248,0.32430035,4.8408566,0.35131001,3.1782384,23.261326,6.841825,3.7974639,12.059859,64.278168,31.355635,12.843792,3.8743992,1.9668379,4.3001509,0,71,12,0.016160229,1,1,1109.375,1109.375,1109.375
9,0.87234795,0.5863843,-0.89635825,0.088667296,-0.43416733,0.013369719,4.3799152,2.2543194,2.9772167,8.4032097,7.3305221,4.9275098,16.25,29.60821,42.891792,12.597918,0.24331032,1.1506718,0.72054517,0,67,14,0.37843645,1,0,1046.875,1046.875,1046.875
10,0.69837433,0.5091216,0.61316246,-0.039214529,-0.55461252,0.5611586,4.3862944,1.8565381,0.73819506,9.7118015,6.7824721,4.9444876,61.116665,41.849998,7.3833332,13.080597,3.8572564,1.323289,3.9849916,0,75,10,0.46764693,1,1,1171.875,1171.875,1171.875
